Частота, ГГц	Re S33	Погр. Re S33	Im S33	Погр. Im S33	Re S34	Погр. Re S34	Im S34	Погр. Im S34	Re S43	Погр. Re S43	Im S43	Погр. Im S43	Re S44	Погр. Re S44	Im S44	Погр. Im S44
37,5	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-
37,6	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-
37,7	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-
37,8	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-
37,9	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-
38	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-
38,1	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-
38,2	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-
38,3	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-
38,4	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-
38,5	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-
38,6	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-
38,7	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-
38,8	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-
38,9	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-
39	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-
39,1	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-
39,2	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-	0,00000	-
